SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
39.0,27.0,34.0,1.73,10.568801092469073,0.34469696969696967,0.296,0.296,0.28119999999999995,0.34716981132075475,0.1473913043478262,3.925,40.0,1.0,0.07742499570066717,0.5,7.41,37.7906976744186,162.5,0.296,100,150,50,45,1000,476,2
39.0,27.0,34.0,1.73,10.568801092469073,0.34469696969696967,0.296,0.296,0.28119999999999995,0.34716981132075475,0.1473913043478262,3.925,40.0,1.0,0.07742499570066717,0.5,7.41,37.7906976744186,162.5,0.296,150,200,50,45,1000,476,2
39.0,27.0,34.0,1.73,10.568801092469073,0.34469696969696967,0.296,0.296,0.28119999999999995,0.34716981132075475,0.1473913043478262,3.925,40.0,1.0,0.07742499570066717,0.5,7.41,37.7906976744186,162.5,0.296,200,400,200,45,1000,476,2
39.0,27.0,34.0,1.73,9.028373957096798,0.34469696969696967,0.29089999999999994,0.2314,0.22918,0.34716981132075475,0.16208152173913057,3.925,40.0,1.0,0.050273179783537944,0.5,7.41,6.780523255813953,38.4,0.29089999999999994,400,600,200,45,1000,476,2
39.0,27.0,34.0,1.73,8.756533874384045,0.34469696969696967,0.29,0.22,0.22,0.34716981132075475,0.1646739130434784,3.925,40.0,1.0,0.04548168285698573,0.5,7.41,1.308139534883721,16.5,0.29,600,800,200,45,1000,476,2
39.0,27.0,34.0,1.73,8.756533874384045,0.34469696969696967,0.29,0.22,0.22,0.34716981132075475,0.1646739130434784,3.925,40.0,1.0,0.04548168285698573,0.5,7.41,1.308139534883721,16.5,0.29,800,1000,200,45,1000,476,2
39.0,27.0,34.0,1.73,8.756533874384045,0.3446969696969697,0.29,0.22,0.22,0.34716981132075475,0.1646739130434784,3.925,40.0,1.0,0.04548168285698573,0.5,7.41,1.308139534883721,16.5,0.29,1000,1500,500,45,1000,476,2
39.0,27.0,34.0,1.73,8.756533874384045,0.3446969696969697,0.29,0.22000000000000003,0.22000000000000003,0.34716981132075475,0.1646739130434784,3.925,40.0,1.0,0.04548168285698573,0.5,7.409999999999999,1.308139534883721,16.5,0.29,1500,2000,500,45,1000,476,2
55.0,12.0,33.0,1.63,47.77449619214065,0.382,0.17800000000000002,0.111,0.0999,0.3849056603773585,0.5375490196078432,3.55,40.0,1.0,0.08,0.5,7.41,1.744186046511628,12.0,0.17800000000000002,0,50,50,45,1000,478,1
55.0,12.0,33.0,1.63,47.77449619214065,0.382,0.17800000000000002,0.111,0.0999,0.3849056603773585,0.5375490196078432,3.55,40.0,1.0,0.08,0.5,7.41,1.744186046511628,12.0,0.17800000000000002,50,100,50,45,1000,478,1
55.0,12.0,33.0,1.63,47.77449619214065,0.382,0.17800000000000002,0.111,0.0999,0.3849056603773585,0.5375490196078432,3.55,40.0,1.0,0.08,0.5,7.41,1.744186046511628,12.0,0.17800000000000002,100,150,50,45,1000,478,1
55.0,12.0,33.0,1.63,47.77449619214065,0.382,0.17800000000000002,0.111,0.0999,0.3849056603773585,0.5375490196078432,3.55,40.0,1.0,0.08,0.5,7.41,1.744186046511628,12.0,0.17800000000000002,150,200,50,45,1000,478,1
72.5,14.5,13.0,1.6994999999999998,62.18024814672065,0.35616363636363635,0.15395,0.08960000000000001,0.087935,0.3586792452830189,0.5725541795665634,3.6125,40.0,1.0,0.07235448110953115,0.5,7.41,0.632267441860465,9.475,0.15395,200,400,200,45,1000,478,1
80.0,7.0,13.0,1.8,140.32458065968783,0.31818181818181823,0.095,0.047,0.047,0.320754716981132,0.7038235294117646,3.425,40.0,1.0,0.058312102993681544,0.5,7.41,0.436046511627907,5.5,0.095,400,600,200,45,1000,478,1
80.0,7.0,13.0,1.8,140.32458065968783,0.31818181818181823,0.095,0.047,0.047,0.320754716981132,0.7038235294117646,3.425,40.0,1.0,0.058312102993681544,0.5,7.41,0.436046511627907,5.5,0.095,600,800,200,45,1000,478,1
87.7,4.2,8.1,1.8,244.12372605366923,0.31818181818181823,0.0635,0.023899999999999998,0.023899999999999998,0.320754716981132,0.8020294117647059,3.355,40.0,1.0,0.0448824461176918,0.5,7.41,0.23255813953488372,3.4,0.0635,800,1000,200,45,1000,478,1
91.0,3.0,6.0,1.8,288.60907407966124,0.31818181818181823,0.05,0.013999999999999999,0.013999999999999999,0.320754716981132,0.8441176470588235,3.325,40.0,1.0,0.03912687888512476,0.5,7.41,0.14534883720930233,2.5,0.05,1000,1500,500,45,1000,478,1
91.0,3.0,6.0,1.8,288.60907407966124,0.31818181818181823,0.05,0.013999999999999999,0.013999999999999999,0.320754716981132,0.8441176470588235,3.325,40.0,1.0,0.03912687888512476,0.5,7.409999999999999,0.14534883720930233,2.5,0.05,1500,2000,500,45,1000,478,1
